"Definition","is_misogyny"
"a overly large penis.",0
"a penis being slammed",0
"a penis enlarger pill",0
"a penis short and fat",0
"a penis that is bumpy",0
"a penis with foreskin",0
"a person who is cheap",0
"a person who is cheap",0
"a person who is taxed",0
"a person who twitters",0
"a phone sex solicitor",0
"a pit stop before sex",0
"a place to store porn",0
"a player who ia > ra3",0
"a rapeist that is gay",0
"a rather large penis.",0
"a really gay hair cut",0
"a regular sized penis",0
"a request for gay sex",0
"a retarded homosexual",0
"a sexual looking duck",0
"a sexy and hot person",0
"a sexy ass pig fucker",0
"a sharp, flat, penis ",0
"a short, stubby penis",0
"a shy queer young boy",0
"a sissy or a gay dude",0
"a slang for [dickwad]",0
"a small penis. A bud.",0
"a smelly fucking cunt",1
"a squidward nosed gay",0
"a stray eyebrow hair.",0
"a suppressed lesbian.",1
"a term for having sex",0
"a term for having sex",0
"a transexual grandma.",1
"a transvestite hooker",1
"a type of brown hair.",0
"a uncircumsized penis",0
"a verry sexsay person",0
"a very hairy dickhead",0
"a very homosexual man",0
"a very sexy man (not)",0
"a very very big penis",0
"a virus of the penis.",0
"a wanker who swaggers",0
"a way of saying pussy",0
"a white boy who raps.",0
"a white boy who raps.",0
"a white boy who raps.",0
"a white boy who raps.",0
"a white boy who raps.",0
"a wierd looking penis",0
"a word for homosexual",0
"abreviation for penis",0
"adj (gay) or n. (gay)",0
"aka vaginal discharge",1
"all [bros] everywhere",0
"all mighty translator",0
"allen rogers's penis.",0
"amazingly sexy person",0
"an all male threesome",0
"an extremely sexy man",0
"an inside out [penis]",0
"an old school brothel",0
"an old wrinkley penis",0
"an uncircumcised male",0
"an uncircumcised man.",0
"an unforgetable penis",0
"angry lesbians united",1
"anime for gay people.",0
"another term for gays",0
"another term for sex.",0
"another term for sex.",0
"another word for cock",0
"another word for cock",0
"another word for cock",0
"another word for cum.",0
"another word for cum.",0
"another word for cum.",0
"another word for cum.",0
"another word for cunt",1
"another word for porn",0
"another word for sex.",0
"another word for sex.",0
"any form of penis hug",0
"anything with a penis",0
"as hot as one's penis",0
"ask someone who cares",0
"basically its a penis",0
"basically your penis.",0
"batty bwoy or gay man",0
"beautiful, nice, sexy",0
"being a queer and fag",0
"bent or crooked penis",0
"big gay hunk of meat.",0
"bit gayish nerd term.",0
"bring it on you cunts",1
"broads born in japan.",0
"broke up wit your boo",0
"broken hearted homie.",0
"bros + roller blading",0
"brown teeth, no tits.",0
"browsing the internet",0
"brunch between 2 bros",0
"cajun french for cock",0
"chav word for brother",0
"cheque; cockney slang",0
"cock loveing mexicans",0
"cockney for a ""fight""",0
"cocksucker to the max",0
"comfy with being scum",0
"commerciel sex worker",0
"crazy german buttsex.",0
"creamy vaginal fluids",1
"cumming on a someone.",0
"cunts + slags = clags",1
"da best a man can wet",0
"da man irl and online",0
"dancing or having sex",0
"dirty old man panties",0
"dorm full of lesbians",1
"duke of homosexuality",0
"eating some broad out",0
"erect male genitalia.",0
"euphemisim for penis.",0
"experience in sex\r\n",0
"extremely small penis",0
"eye brow shaver     .",0
"faggot \r\nhomosexual",0
"fall off cube cumming",0
"fat people having sex",0
"fear of heterosexuals",0
"feeling..sexy, horny.",0
"feminine of cockblock",1
"fo sho and thank you ",0
"foreskin, (penis-lip)",0
"friend, bro, compadre",0
"frogs having butt sex",0
"fucking awesome; sexy",0
"fucking prick asshole",0
"funniest man ever!!!!",0
"funny slang for penis",0
"gay ass mother fucker",0
"gay guy who likes ass",0
"gay gyal lyk westwood",0
"gay oriented meaning.",0
"gay, retarded, stupid",0
"gay. like not strait.",0
"geek who knows it all",0
"german for bad hitter",0
"german swaggy hipster",0
"german word for beer-",0
"german word for first",0
"haha i broke ur nose ",0
"half human half robot",0
"half man, half penis.",0
"have sex with someone",0
"having a curved penis",0
"having a large penis.",0
"having gay cowboy sex",0
"having sex ; screwing",0
"having sex in the ear",0
"having sex to excess.",0
"having to do with cum",1
"having to do with sex",0
"he who is often pwned",0
"he who wears panties.",1
"homosexual nigger jew",0
"homosexual tendencies",0
"homosexual tendencies",0
"homosexual vegetarian",0
"homosexual's rear end",0
"hoochey momma hoe bag",0
"horse and giraffe sex",0
"hottties who man-hunt",0
"indie bro number one.",0
"intense sexual desire",0
"irregular shaped cock",0
"is a very small penis",0
"is sexual intercourse",0
"is so hot and sexy!!!",0
"is someone who is gay",0
"it cums in the bottle",0
"it is slang for [gay]",0
"it means broken heart",0
"its a gay chinese guy",0
"its travis queer hauk",0
"kaakdi means cucumber",0
"keep your sex life up",0
"large protruding dick",0
"lewd, obscene, sexual",0
"male ejaculate, semen",0
"male ejaculate; semen",0
"male genital (penis).",0
"male mastubation word",0
"male testicles, balls",0
"man who loves the hog",0
"man with huge package",0
"meaning gay UND3RBURN",0
"meaning male genitals",0
"mispelling of lesbian",0
"moistening ones penis",0
"most awesome! sex-uh!",0
"mucho amounts of cash",0
"my sexy ass boyfriend",0
"n. A Mexican lesbian.",1
"n. An enlarged penis.",0
"nathans are dickheads",0
"nobbly sticks of porn",0
"noobs who wona b cool",0
"noun.  one who wanks.",0
"nyo~ (means i am gay)",0
"of or relating to sex",0
"old people having sex",0
"one who abducts asses",0
"one who cannot spell ",0
"one who cheats in tfc",0
"one who consumes eggs",0
"one who creates manga",0
"one who fucks fathers",0
"one who has stigmata.",0
"one who helps us come",0
"one who hops diddlers",0
"one who invents words",0
"one who is a fagstick",0
"one who is an asshole",0
"one who is homosexual",0
"one who is unpleasant",0
"one who is very hairy",0
"one who keeps it real",0
"one who knows nothing",0
"one who likes his mom",0
"one who packs pickles",0
"one who provides beer",0
"one who queefs a lot!",0
"one who sleeps around",0
"one who steals apples",0
"one who sucks [chode]",0
"one who takes undies.",0
"one who walks on cake",0
"one who wins at chess",0
"penis (big or small).",0
"penis still attached.",0
"penis, in Turkish,..!",0
"penis, male genitalia",0
"people who hate anima",0
"people who mix races.",0
"person who cockblocks",0
"pleasing your man now",0
"polite word for penis",0
"poon i'd like to fuck",0
"porn when you want it",0
"porn, porn video etc.",0
"pornogaphic magazine.",0
"portable cum dumpster",0
"proper noun: a [dick]",0
"puffy upper cunt area",0
"queer without a penis",0
"rapper who is white..",0
"really good sexy time",0
"really sexy,damn fine",0
"ref: [word]gay[/word]",0
"refering to your cock",0
"referring to a penis.",0
"satan is teh gay homo",0
"say it in german dude",0
"scubba iz a sex bomb!",0
"see [cockney wanker] ",0
"see [gayest car ever]",0
"see [jonas brothers].",0
"see [panda gay raped]",0
"see also:  sexy beast",0
"seman mixed with poop",0
"sex in a glass...\r\n",0
"sex obsessed perverts",0
"sex with two penises!",0
"sex, but only faster.",0
"sex, money, and power",0
"sex-on-the-first-date",0
"sexting with siblings",0
"sexually active freak",0
"sexy and single model",0
"sexy ass motherfucker",0
"sexy xylophone, tehe.",0
"sexy, has a large ass",0
"sexy, hot, attractive",0
"short for cock jock!!",0
"short for crusty-cunt",1
"skank and cunt combo.",1
"slang for ho the door",0
"slang for homo sexual",0
"slang for penis, duh.",0
"slang term for penis ",0
"slang term for penis.",0
"slang term for penis.",0
"slang word for penis.",0
"slippers for lesbians",1
"small cock syndrome. ",0
"smart + sexy = smarxy",0
"smart beautiful woman",0
"smart sexy ass indian",0
"smoking hot sexy mofo",0
"smuggler of the cock.",0
"some one who swallows",0
"some who is well ugly",0
"somebody who is crazy",0
"somebody who is hairy",0
"someone who bags fags",0
"someone who cant walk",0
"someone who eats crap",0
"someone who feaks out",0
"someone who has hiv's",0
"someone who is a Jew.",0
"someone who is a wert",0
"someone who is busted",0
"someone who is clutch",0
"someone who is creepy",0
"someone who is creepy",0
"someone who is ewwie.",0
"someone who is gifted",0
"someone who is hott!!",0
"someone who is slutty",1
"someone who is stupid",0
"someone who jacks off",0
"someone who likes men",0
"someone who rocks out",0
"someone who shot meth",0
"someone who sucks up.",0
"someone who uses cash",0
"somone who is amazing",0
"southern word for cum",1
"spoderman is a genius",0
"stands for [cybersex]",0
"street word for penis",0
"stroking a giant cock",0
"students against gays",0
"super sexy mexican =]",0
"super sexy nuff said.",0
"super sexy polish kid",0
"synonym for ""gayass"" ",0
"synonym for man boobs",0
"synonym with [cummed]",1
"tall lanky homosexual",0
"term describing penis",0
"the 5th man of G-Unot",0
"the act of being gay.",0
"the act of being gay.",0
"the act of being sexy",0
"the act of sexualness",0
"the base of the penis",0
"the bronx of colorado",0
"the gay version of 69",0
"the gayest movie EVER",0
"the goods, sweet, bro",0
"the hotest porn star.",0
"the inability to cum.",0
"the male genitalia...",0
"the male private part",0
"the male sexual organ",0
"the name for my penis",0
"the one who got away!",0
"the only german word.",0
"the opposite of penis",0
"the penis(very crude)",0
"the scum of the world",0
"the sexiest man alive",0
"the sexiest man alive",0
"the sexiest man alive",0
"the sexiest man alive",0
"the sexiest man alive",0
"the sexiest mofo eva!",0
"the sexy man on earth",0
"the slang for brother",0
"the ultimate sex move",0
"this kid is very gay ",0
"to be excited for sex",0
"to bust a nut; to cum",0
"to get down, have sex",0
"to have a large penis",0
"to have a large penis",0
"to have a small penis",0
"to have a small penis",0
"to have had sex with.",0
"to have sex in a park",0
"to have sex mad quick",0
"to have your cock out",0
"to look extremly sexy",0
"to masturbate a penis",0
"to queef during sex. ",0
"to rub someones penis",0
"to sex another person",0
"to want dick real bad",0
"twice the man five is",0
"ultra sexy beaner man",0
"un-circumcised penis.",0
"unusually small penis",0
"very very large penis",0
"vulgarism for [penis]",0
"watever cunt fuck off",1
"what gay people stole",0
"whats is going on bro",0
"when a gay man farts.",0
"who made up this word",0
"who the hell are you?",0
"who wants to know\r\n",0
"wife's brother's wife",0
"yes/yea in lesbianese",1
"young, brown and cute",0
"Fag scientologist, who jumps on couches, and can't make fun of his religion. he is a horrible actor and the only good movies he has been in is War of the Worlds and Mission Impossible 1, he needs to loosen up and understand that aliens are not controlling us...........god is ",0
"Fat people who think that people who don't eat as much as them are anorexic. They are usually super over weight, resemble pigs, and eat an appetite enough for all of Africa. Porkerexic people tell others they are too skinny to justify that they are not fat, although they are,",0
"Ford's fullsize suv counter part to the K5 blazer, 4wd vehicle convertible, later on came in eddie bauer, eventually the downsize version took over much like the s10 for k5, becoming the bronco II, the bronco, like its chevrolet cousin would share the same fate of extinction.",0
"Fresh Off The Boat.\r\nIt is usually used for Persians who just came from Iran, or if you even came 15 years ago and you still say E-school. or gas e-station. or Dat. \r\nEven if you still bring Ghormeh Sabzi to school everyday for lunch.\r\nI've never heard it any other way.",0
"Fresh and fly is usually used for a well dressed, young, handsome male. He is usually someone who is good looking, trendy and a head-turner. Not necessarily flirty, although some people may associate such a person with this attitude. He can be classed as a fashion role-model.",0
"From the Latin dorsum (meaning back) and the Greek philia (meaning affinity), this word literally means having an affinity for backs.  A dorsophile is someone who enjoys cutting a hole in someone's back and using that hole for sexual activities.  Dorsophiles are usually male.",0
"Function: verb/adjective \r\nEtymology: Etymology: Middle English, from Old English scafan; Lithuanian skobti to pluck \r\nDate: 1988\r\n\r\ntransitive verb\r\n1: to take or borrow ; Chiefly cigarettes aka: [skave] ; Assoc. [bogart]\r\nadjective\r\n1: one who takes or borrows",0
"German word, which has two main meanings.\r\n\r\n""Du siehst geil aus.""-> ""You look sexy.""\r\n""Das Auto ist geil.""->""The car ist cool/hot.""\r\n\r\nDo not(!) use this word in a conversation, if these people your talk to are no close friends or relatives. Could be misunderstood.",0
"Getting into a relationship with/hooking up with someone you generally dont care about much simply because you have recently broken up with someone and you are in the process of getting over them and want to have someone to fill the gap until your next meaningful relationship",0
"Ginger bears can be described as very tall, brawny, and often have a well manicured gingery beard. They are derived from the gay community. They're gingery good looks often attract bar tenders and anyone else in the gay community for that matter. Gotta love them ginger bears.",0
"Good To Fuck On\n\nSelf-explanatory acronym used by many youths to express their excitement about a specific object and its level of comfort to perform sexual actions on.\n\nShould not be confused with ""Get The Fuck Out"" which can unintentionally offend a friend or colleague.",0
"He is a sex god that plays guitar and sings in a band called 5 seconds of summer with another 3 sex gods. His hair is just amazing and colorful and his smile is just cute and perfect. He believes that he is a punk rock guy but he is not, that's what makes him cuter than he is",0
"He is the best friend , the epitome of stupidity. He is most probably [homo]. He thinks his hair is awesome but really its just his [dick] hair with some gel. His [homosexuality] mostly comes from his small dick which is very hard to find in his abnormally large [pubic hair].",0
"Hot lead singer for the band scissor sisters,he's gay and fabulous. known for taking his clothes off or having them taken off by his band mate ana matronic\r\n\r\nJake isn't his real name it's Jason\r\n\r\nHe's incredibly pretty and funny. \r\n\r\nHe once married himself.\r\n",0
"Hunny is a pet name to call someone who you are close 2. e.g girlfriends, best mates, boyfriends. Hun for short. I think the term may have come from the word honey. Changed the hunny i dont know why but it means sweetie basically so honey is sweet so hun hehe thats confusing!",0
"In Suffolk, a term townies use to try and insults us people who listen to decent, music like rock, metal and punk. But really, in all other parts of England, Pikie is a term for a school drop-out, drug dealin, 9 year old raping townie twat. Doesnt that show how dumb they are/",0
"In eighteenth and nineteenth century England, it was considered a great offense to say ""By God"". Instead, men would say ""BY Jove"". Jove is an alternative name for the Roman god Jupiter. By saying ""By Jove!"", they could be saying ""By God!"", without committing a social offense.",0
"In the broadest sense of the word, a plurrorist is a hippie raver. one who hugs people and spreads the idea of P.L.U.R. or Peace, Love, Unity, Respect.\r\n\r\nPrevious erradication attempts have failed.\r\n\r\nSee also: [hippie], [goa], [gay], [faggot], [perv], [fudgepacker].",0
"In the political realm, an aspect of a candidate that will cost them votes no matter how they spin the situation. This is factually based on the Election of 1960 where John F. Kennedys's religion cost him votes. A woman running for president would have such a factor attached.",0
"In the world of BDSM practitioners, a 'Dominatrix' refers to a person who primarily offers sexual services - but with a BDSM element.\n\nie, a prostitute with a whip\n\nnot be confused with a pro-domme - who offers BDSM services for a fee, but not necessarily sexual services.",1
"Incredibly off-beat subculture of nerd-dom, considered by many to be the nerdiest of all. Someone who plays ""Werewolf: The Apocalypse,"" has an account on DeviantArt, and cannot get sexually aroused unless both parties involved are dressed up like members of the Banana Splits.",0
"Indispensable therapy for all [A-List] celebrities. The best way to arch your shoulders back to make them look narrower (though this is not the technique's intended aim), and the breast and chest puff forward like a [cockerel]. You can't walk the red carpet in any other way. ",0
"Initially started by a group of wrestlers in Sebastian Florida, Kids Klub! is now an actual group of people who make movies and party. They also love to make fun of outsiders out of entertainment. During their meetings, the words ""Kids Klub!"" replaces the traditional ""Hello"".",0
"Involuntary jittering movements brought on after inhaling, ingesting (sometimes even just breathing) something. This acts to heighten the enjoyment of said 'something', but can often lead to a life of being laughed at brought on by the comical nature in which it is performed.",0
"Irish family band consisting of three sisters and a brother. Most known for hits like ""Runaway"", ""Dreams"" and ""Breathless""; The Corrs have proven themselves to be one of the best and most successful bands in the mainstream to come out of Ireland since U2 in the early 1980's. ",0
"Is a gifted lover. Great at giving head! But is strong and powerful to. Mostly common as a last name for passionate people. He who has the last name ""Braafhart"" is good at giving orgasms. they tend to have a bad temper, and an ass sometimes. But can treat others like royalty.",0
"Is sometimes mistaken for or argued that it is a real substance. It is, in fact something which does not exist.\n\nPeople who believe in this substance, and then realise later that it does not exist, will deny ever believing in Meteorite Sulfate and claim it was a hypothesis.",0
"It's a sentence or phrase that begins with ""lol"" and ends with ""lol."" People who use lolsandwiches are normally above the age of 35 and tend to capitalize every letter in the sentence, and these sentences are normally followed with an unnecessary amount of exclamation points.",0
"It's when you crush up a whole bunch of Adderall and mix it with some silky smooth lotion and or Vaseline. Then apply it to your penis with strong strokes. Soon you will have the hardest, biggest raging boner ever possible making you able to bone what ever you want all night!",0
"It's when you take yours or someone elses weiner out and start rubbin' it up and down. Most people do this in groups and to pleasure themselves. This action is not safe to do alone. The ending result is when you do that o face and that ""white stuff"" squirts out of your penis.",0
"Itchy Poop Ass occurs in the male population and is caused by insufficient wiping after defecation. As time progresses, the victim of Itchy Poop Ass (IPA), will begin to notice the agitation of the anus and surrounding area. The only known cure to Itchy Poop Ass is a shower. ",0
"Jadaia is beautiful kind-hearted loving woman she is very funny she takes care of anyone special in her life. Jadaia's always has a very special future, and there reputation is very important to them to strive for a successful future. Jadaia is also gorgeous and strong women.",0
"Joel and Ethan Coen. They have written, produced, and directed Blood Simple, Miller's Crossing, Barton Fink, The Hudsucker Proxy, Fargo, Raising Arizona, The Big Lebowski, O Brother, Where Art Thou?, The Man Who Wasn't There, and wrote Intolerable Cruelty and the Ladykillers.",0
"Jordy Casas is a quiet person who knows how to love you and knows how to make you want him, he'll always be there for you when you need him. He's a best friend who you'll fall for FAST. And ont op of all that he has an amazing body , dresses SUPER cute and is VERY attractive.",0
"Juudaimei in Japanese means ""The Tenth"".\r\n\r\nIn the series Hitman Reborn Gokudera says this phrase over 520 times in the anime version to Tsuna (The 10th Vongola Family Boss).\r\n\r\nThis shows how much he respects him. \r\n(Or can be seen as him being obsessed with Tsuna)",0
"Kentucky Fried Chicken\r\n\r\nThe name of a popular fast food restaurant, established by some guy named Colonel Sanders, that specializes in fried and broiled chicken products.  An ideal place to contract salmonella, E. coli, and other potentially deadly food-borne illnesses.",0
"Kick ass band that everyone has heard but just didn't know it. As heard on MTV and multiple other medium. The guys in the band are great people who only slang top flight broads. I once defeated the bass player in NCAA Football 95 on a last minute 85 yard half back option run.",0
"Kids that started baseball when they were younger and quit to start playing lacrosse because they were a disgrace to the game of baseball. They are also douche bags who think they are hot shit and lacrosse is the greatest sport ever even though they probably suck at that too.",0
"Kind of a bitch. She speaks too well and she lacks compassion for the homeless. She may have a home. but that doesn't make her better than me. I'm not going to call her a cunt and a bitch because that's beneath me, but lesbihonest she has a huge mouth if you know what I mean.",1
"Koenker is a person who must consume alcohol, usually in large quantities, whenever possible. Koenker also seeks out others like themselves, especially their significant other. The excessive drinking is to try and camoflage their asshole personality and lack of people skills.",0
"Ladilla is the spanish word for crab louse. Therefore it's usually used to reflect that someone can be as annoying as a crab louse. It can also be use in the form of a verb ""ladillar"". For it's sexually related content, it can also be found in expressions with such intention.",0
"Latrino is a racial slur used for people who faulsely have dubed them selfs as latinos such as native americans and mulattos who are from once formor spanish collinies. Latrin means toilt-urinal in french-latin the word latrino implys they are not latins ,but they are urinals",0
"Learning\r\nOvercoming\r\nValuing\r\nEmbracing\r\n\r\nLove is only accomplished by Learning about one another in order to Overcome our inhibitions. Only then, can we Value each other as human beings and find a way to Embrace our differences.  \r\n\r\nCoined by the rapper JG. ",0
"Legendary [condoms] that are used for homosexual sex only. Built extra-thick so that they won't tear during [anal sex]. Whether or not any such condoms were ever produced, they were quite a common way to [diss] someone in parts of the United States, mainly during the 1990's. ",0
"LibLabCon = Liberal Democrat + Labour + Conservative\r\n\r\nLibLabCon is a phrase used by Britons who hold the belief that there is no real discernable differences between the mainstream political parties in Britain, and that the country is thus technically a one-party state.",0
"Lindy: Name of a person who is slightly shy but shouldn't be because she is so awesome. Super funny, is way more beautiful than she realizes, and everyone would love her if she'd let them. IE: A girl who is too modest and would have plenty of friends if she'd open herself up.",0
"Literal meaning :\r\n\r\n Large jelly like saddle bags that sway in the breeze\r\n\r\nSlang :\r\n\r\n Large boobs. Mainly refered to as man boobs.\r\nNamed after the lagendary fat sven\r\n\r\nSome say they weigh as much as 19 stone but sadly we can only guess at their weight.",0
"Literally means, ""nobility obliges"".  It's generally used to imply that with wealth, power, and prestige come social responsibility.  It's mostly used to refer to the wealthy who are condescending and shower their money and privileges upon those who don't necessarily want it.",0
"Located Next to telopea public school,\r\nand Coles (BILO R.I.P) and The Bottleshop\n\nWhere all the Junior Junkies ( Around the age when junkies start smoking and drinking, 9 yrs old - 18 yrs old)\n\nsit around,\r\nSmoke, Drink\n\nand pick on thomas brown when he walks past.",0
"Lukias is a man that is super cool super funny yet super serious. Tends to not give up until hes completed what he set out to do, and doesnt take shit from anyone. He is a totally confident person to the highest degree and is generally sexy and loves people named Shannon! @_@",0
"Means *life* in German\n\nname (rare), A kind guy, loves love, giving, confused, protective, fast, friends are everything, but best friends are rare and is givin extra special attention, insecure, built, beautiful, falls in love with the wrong people, forfills sexual disires.",0
"Middiez are the male equivalent of Biddies.\r\nHot, yet seemingly delirious and attention-seeking men. Usually intoxicated and thus easy prey for girls. Usually male . . . and thus easy prey for girls. EASY PREY FOR GIRLS.\n\nAlso can be stated as ""middie"" ""middies"" or ""Midz""",1
"Middle of Fucking Nowhere. A concept people from densely populated areas like Connecticut can't comprehend existing in the U.S. where the Plains, the West, and the South have villages and towns of almost a hundred people who live hours from anyone else.\n\nPronounced ""Ma-Fin""",0
"Monied Trash: The segment of the wealthy population that lacks education, social grace, and a basic understanding of values in their society. MT does not discriminate by race, sex, or creed. . . as long as a person drives a Ferrari but can't spell it, chances are, they're MT.",0
"Most amazing girl you have ever met.\r\nBeautiful, great taste in music, sexy, you will love her always.\r\nBEST PERSONALITY IN THE FREAKING WORLD!\r\nShe is the greatest bestfriend in the world.\r\neveryone loves her.\r\nI love her(;\r\nI hope when you read this you smile!(:",0
"Most physically and mentally demanding sport on the planet. If you disagree, you are obviously one of the many who aren't tough, determined or skilled enough to be a swimmer. \r\nGives you massive shoulders + chest and a toned upper body. Great for your lungs and heart.  \r\n",0
"Mud Space Is What Racially concious Whites call My space.com Due to the fact that the site Deleates Whites who have anything that Indicates Racially & ethnic pride for Whites,beeing a Skinhead Or White Nationalist,But yet encourages it from other races with out deleating them",0
"Mumbelina is a word used to describe a mother or maternal figure who is much smaller than you in height and stature. \r\nMumbelina is a composite word combining 'Mum' a western familiarisation of Mother and the suffix of Thumbelina, fictional character noted for her smallness",0
"N. Seemingly insulting phrase that one partner will use to explain the extra weight/slow down caused by second partner. Ironically, the ""anchor"" sees this as a compliment, as a way of keeping things stable. (USUALLY, the female is the anchor, making said delusion seem normal)",0
"Named after a man named David Winters from a quaint seaport village in Maryland, the expression ""winters"" or ""pulling a winters"" refers to those situations where an individual makes a blatantly homosexual comment and immediately back peddles or tries to play it off as a joke.",0
"Nickname given to the Brewster F2A Buffalo, an American-Built carrier based Fighter of WWII which was not at all succesful in the hands of the Americans, but had great success in the hands of the Finnish, who used them with great success in thier war against the Soviet Union.",0
"No matter what a guy has or who he is with, he is not satisfied.\r\n\r\nGrant's Law is derived from the actor Hugh Grant. Hugh Grant was lving with Elizabeth Hurley one on the most beautiful woman in the world and wasn't satisfied. So he picked up a crack 'ho on Sunsent Blvd.",0
"Normally an English gentleman - Dresses smartly and to an untrained eye has the look of a preppy - They have exceptional etiquette and are from wealthy backgrounds - Peacock's have class.\n\nThey don't shop for Jack Wills or try to follow the trend - they have a unique style.",0
"Not just ANY loser but an unbelievably sad ass hopeless oh so tragic person.\r\nThe kind of loser who makes your fingers itch just by standing there, breathing, exisiting, doing nothing.\r\nThere is something so inherently 'lo0oserness' about them, you just want to slap them.",0
"Not the best, but the funniest and coolest thing to say to a random girl when you are trying to [hit on] her.\r\n\r\nThe word ""Come"" should be pronounced in an extremely [seductive] voice, and the word [Butthead] should be replaced with the name of the person who sais this.  ",1
"Noun - Someone who has no talent and although he is on a much lower level, looks at others as though he is their equal. The ass of every joke and the loser at every school. See [ass clown] or [wangster]\n\nAdjective - See [transsexual] or [talentless]\n\nVerb - See [suck ass]",0
"Noun - any person who pretends to have a higher standard of class, but in secret, is actually a degenerate who fills their life with random acts of sex and/or perverse activities. The subject will deny any such acts to the public. the root of this word was derived from [mung]",0
"Noun- Object that is used on men who want to become straight.\r\nIf you think your roommate loves cock in his asshole then you use Straight Spray on him to turn his life around.\r\nIt usually works but you can not guarentee that it will change his cock giving and taking ways.",0
"Noun. A spiked tire is the outcome of what happens when a 3 person date goes south and creates a [third wheel]. When the two others get increasingly close, the third wheel will become extremely jealous, and bring physical harm to the part of the couple who is the same gender.",0
"OK,  here's the shit...\r\nA Hollaback Girl is a girl who answers when a scrub hollas up ""Yo!"" at her from a car. A girl like that ain't got no standards. She'll talk to any guy, no matter how lame or uncool that guy is. A Hollaback Girl is just another step down from a ""Ho.""",1
"Of Cuban and Isish (Polish and English work too) Background. May cause severe Drunkeness, Big Butts, Taste for fine cigars, Dictatorship, and more drinking. In the case of a male, They are refered to as PIMPS, in females, just hott as hell. In other words, Cubish is the shit.",1
"One of Harry's fellow Gryffindor's - and a member of his class. His parents got tortured over and over again by a Death Eater using the Cruatious curse - until they permananently lost their minds. \r\n\r\nA sad and lonely individual who hasn't lived up to their potential yet.",0
"One of the greatest main-stream rappers out there. His lyrics don't only have good flow but, they make bounce off the fucking wall with laughter. This is coming from a White/Filipino girl who also listens to rock and has been raised to hate rap, so you know he has to be good.",0
"One of the illest Cadillacs ever made, primarily used for dealing drugs in. Some of the best known brohams were produced in the 1980s. However in the 1990s the Chevrolet Caprice/Impala SS stole some of the Caddy's thunder as a drug dealer mobile. Broham is pronounced ""broam"".",0
"One who Points Out Other People's Erroneous Thinking. Pejorative descriptor of a narrow minded criticism often in a group setting. Often flushed away in small quantities, locally offensive in greater, and a public health disaster when overflowing into other people's business.",0
"One who encompasses the features of being an ass and fails. One who loves to play video games, watch stupid videos on the Web, and sing. Really great at playing with Legos, and loves saying catch phrases such as, ""True story,"" or ""BATTLE DAMAGE!"" or even, ""sh*t is crazzzz'y!""",0
"One who exceeds the characteristics of a [weenie] henceforth partaking in the practices of [weeniedom] though it is most commonly unintentional at first due to a state of euphoria otherwise known as [smug] which commonly protrudes directly from the sweat glands of a [weenie].",0
"One who exhibits gay pride. The act of being gay. Not just ""in the closet"" gay but has to display a very flamboyant gayness that is normally seen at gayday parades or on ""Will and Grace"". A gayballer is also very promiscuous and will take it anywhere, anytime and from anyone.",0
